Date,Cases
12/30/20,10266674
12/31/20,10266674
1/1/21,10286709
1/2/21,10323965
1/3/21,10340469
1/4/21,10356844
1/5/21,10374932
1/6/21,10395278
1/7/21,10413417
1/8/21,10413417
1/9/21,10450284
1/10/21,10466595
1/11/21,10479179
1/12/21,10495147
1/13/21,10512093
1/14/21,10527683
1/15/21,10542841
1/16/21,10557985
1/17/21,10571773
1/18/21,10581823
1/19/21,10595639
1/20/21,10610883
1/21/21,10625428
1/22/21,10639684
1/23/21,10654533
1/24/21,10667736
1/25/21,10676838
1/26/21,10689527
1/27/21,10701193
1/28/21,10720048
1/29/21,10733130
1/30/21,10746174
1/31/21,10757610
2/1/21,10766245
2/2/21,10777284
2/3/21,10790183
2/4/21,10802591
2/5/21,10814304
2/6/21,10826363
2/7/21,10838194
2/8/21,10847304
2/9/21,10858371
2/10/21,10871294
2/11/21,10880603
2/12/21,10892746
2/13/21,10904940
2/14/21,10916589
2/15/21,10925710
2/16/21,10937320
2/17/21,10950201
2/18/21,10963394
2/19/21,10977387
2/20/21,10991651
2/21/21,11005850
2/22/21,11016434
2/23/21,11030176
2/24/21,11046914
2/25/21,11063491
2/26/21,11079979
2/27/21,11096731
